,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
1150,"Bänd Tapperi unikaalse Terasalbumi esitlusnäitus/kontsert ""Vereklanni Kolmas Tulemine""",https://www.hooandja.ee/projekt/band-tapperi-unikaalse-terasalbumi-esitlusnaituskontsert-vereklanni-kolmas-tulemine,Rebane Muusika,Muusika,https://www.hooandja.ee/users/laaneisand-rebane,101,1521,2013
1149,Olavi Ruitlane Herkki Erich Merila EESTI EDULOOD,https://www.hooandja.ee/projekt/olavi-ruitlane-herkki-erich-merila-eesti-edulood,Kuri Karjas Trükis,Trükis,https://www.hooandja.ee/users/kurikarjas,121,10891,2013
1148,TEDxTallinn 2013,https://www.hooandja.ee/projekt/tedxtallinn-2013,Oliver Kadak Sündmus,Sündmus,https://www.hooandja.ee/users/hooandja1,123,19174,2013
1147,Eesti kurtide filmi ja teatri festival,https://www.hooandja.ee/projekt/eesti-kurtide-filmi-ja-teatri-festival,ValgusNoored Sündmus,Sündmus,https://www.hooandja.ee/users/valgusnoortekas,103,1542,2013
1146,"Lasteraamat ""Ats läheb uitama""",https://www.hooandja.ee/projekt/lasteraamat-ats-laheb-uitama,Andres Aarik Trükis,Trükis,https://www.hooandja.ee/users/andresaarik,113,1527,2013
1145,Uppsar ja Tsuumi uurivad „Tuljakut“,https://www.hooandja.ee/projekt/uppsar-ja-tsuumi-uurivad-tuljakut,Raido Bergstein Teater,Teater,https://www.hooandja.ee/users/zick,108,4315,2013
1144,IX laste ja noorte pärimusmuusikafestival REGILAUL UUES KUUES 2013,https://www.hooandja.ee/projekt/ix-laste-ja-noorte-parimusmuusikafestival-regilaul-uues-kuues-2013,Ulvi Tamm Sündmus,Sündmus,https://www.hooandja.ee/users/ulvitamm,102,510,2013
1143,Plaat ”Ununenud unistused” Helin-Mari Arderi kvintetilt,https://www.hooandja.ee/projekt/plaat-ununenud-unistused-helin-mari-arderi-kvintetilt,Helin-Mari Arder Muusika,Muusika,https://www.hooandja.ee/users/helinmaria,117,2333,2013
1142,Vene Filmi Päevad Peipsi ääres,https://www.hooandja.ee/projekt/vene-filmi-paevad-peipsi-aares,Kaisa Sammelselg Sündmus,Sündmus,https://www.hooandja.ee/users/rannatuul,116,3306,2013
1141,Viljandi Gümnaasiumi öölaulupidu,https://www.hooandja.ee/projekt/viljandi-gumnaasiumi-oolaulupidu,Ave Alvre Sündmus,Sündmus,https://www.hooandja.ee/users/avealvre,121,631,2013
1140,Toome Aafrika tantsud Eestisse!,https://www.hooandja.ee/projekt/toome-aafrika-tantsud-eestisse,Mari-Liis Pruul Kunst,Kunst,https://www.hooandja.ee/users/rosinatera,103,3041,2013
1139,Faun Racketi vinüülalbum,https://www.hooandja.ee/projekt/faun-racketi-lp,Faun Racket Muusika,Muusika,https://www.hooandja.ee/users/faunracket,100,1505,2013
1138,Lihtsate väärtuste monument,https://www.hooandja.ee/projekt/lihtsate-vaartuste-monument,Sandra Allemann Kunst,Kunst,https://www.hooandja.ee/users/zannuz,101,4020,2013
1137,Lennusadama Gerni allveelaeva ehitamine,https://www.hooandja.ee/projekt/lennusadama-gerni-allveelaeva-ehitamine,Lennusadam Disain,Disain,https://www.hooandja.ee/users/lennusadam,115,3455,2013
1136,Eric Whitacre visiit Eestisse,https://www.hooandja.ee/projekt/eric-whitacre-visiit-eestisse,MTÜ Stainless Muusika,Muusika,https://www.hooandja.ee/users/info17,102,3064,2013
1135,Ära mind unusta,https://www.hooandja.ee/projekt/ara-mind-unusta,fil Trükis,Trükis,https://www.hooandja.ee/users/fil,101,1115,2013
1133,CD „Pranglile“,https://www.hooandja.ee/projekt/cd-pranglile,tinaraud Muusika,Muusika,https://www.hooandja.ee/users/tinaraud,101,2330,2013
1134,VÄRVIME MAAILMA ÄRA!,https://www.hooandja.ee/projekt/varvime-maailma-ara,Annika Klemets; Haavakannu Tall Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/annika5,103,1640,2013
1132,"Silver Sepa debüütplaat ""Mis asi see on?""",https://www.hooandja.ee/projekt/silver-sepa-debuutplaat-mis-asi-see,SS Muusika,Muusika,https://www.hooandja.ee/users/silver1,118,2365,2013
1131,Ajaloolise puidust päästepaadi ehitamine,https://www.hooandja.ee/projekt/ajaloolise-puidust-paastepaadi-ehitamine,Toila Vabatahtlik Merepääste Disain,Disain,https://www.hooandja.ee/users/toila,110,7048,2013
1129,Eve Stuudio tantsud DVD-le,https://www.hooandja.ee/projekt/eve-stuudio-tantsud-dvd-le,eve n Film & Foto,Film & Foto,https://www.hooandja.ee/users/eve3,101,1040,2013
1130,Just Tantsukooli lõpetajate etendus,https://www.hooandja.ee/projekt/just-tantsukooli-lopetajate-etendus,Anne Tamm-Kivimets Teater,Teater,https://www.hooandja.ee/users/annekoduke,112,560,2013
1128,Toortoidu retseptiraamat,https://www.hooandja.ee/projekt/toortoidu-kokaraamat,paradiisimaitse Trükis,Trükis,https://www.hooandja.ee/users/paradiisimaitse,117,5261,2013
1127,Knit The World,https://www.hooandja.ee/projekt/knit-world,Kaja Kann Kunst,Kunst,https://www.hooandja.ee/users/kaja1,111,3980,2013
